Date,Open,High,Low,Close,Adj Close,Volume
2017/08/10,"21,988.20","21,988.20","21,843.94","21,844.01","21,844.01","303,310,000"
2017/08/11,"21,883.32","21,911.09","21,842.74","21,858.32","21,858.32","237,790,000"
2017/08/14,"21,945.64","22,019.23","21,945.64","21,993.71","21,993.71","235,030,000"
2017/08/15,"22,029.91","22,038.92","21,971.48","21,998.99","21,998.99","269,070,000"
2017/08/16,"22,031.93","22,085.71","22,002.47","22,024.87","22,024.87","264,920,000"
2017/08/17,"21,984.74","21,984.74","21,750.32","21,750.73","21,750.73","311,030,000"
2017/08/18,"21,724.88","21,793.35","21,641.63","21,674.51","21,674.51","309,070,000"
2017/08/21,"21,671.36","21,718.74","21,600.34","21,703.75","21,703.75","277,880,000"
2017/08/22,"21,739.78","21,912.83","21,738.13","21,899.89","21,899.89","244,980,000"
2017/08/23,"21,850.27","21,866.66","21,808.39","21,812.09","21,812.09","234,810,000"
2017/08/24,"21,839.90","21,870.11","21,765.82","21,783.40","21,783.40","228,480,000"
2017/08/25,"21,819.08","21,906.86","21,812.81","21,813.67","21,813.67","217,570,000"
2017/08/28,"21,832.50","21,861.49","21,767.94","21,808.40","21,808.40","218,740,000"
2017/08/29,"21,718.00","21,879.22","21,673.58","21,865.37","21,865.37","227,340,000"
2017/08/30,"21,859.76","21,914.26","21,839.47","21,892.43","21,892.43","242,840,000"
2017/08/31,"21,936.01","21,985.76","21,910.50","21,948.10","21,948.10","376,790,000"
2017/09/01,"21,981.77","22,038.97","21,974.91","21,987.56","21,987.56","256,240,000"
2017/09/05,"21,912.37","21,921.09","21,709.63","21,753.31","21,753.31","332,840,000"
2017/09/06,"21,815.76","21,849.24","21,794.07","21,807.64","21,807.64","318,760,000"
2017/09/07,"21,820.38","21,850.01","21,745.71","21,784.78","21,784.78","333,810,000"
2017/09/08,"21,764.43","21,846.63","21,731.12","21,797.79","21,797.79","289,400,000"
2017/09/11,"21,927.79","22,067.10","21,927.79","22,057.37","22,057.37","312,770,000"
2017/09/12,"22,090.56","22,134.57","22,087.09","22,118.86","22,118.86","364,580,000"
2017/09/13,"22,103.47","22,158.18","22,095.79","22,158.18","22,158.18","291,890,000"
2017/09/14,"22,144.96","22,216.44","22,135.26","22,203.48","22,203.48","297,780,000"
2017/09/15,"22,252.44","22,275.02","22,214.52","22,268.34","22,268.34","527,540,000"
2017/09/18,"22,297.92","22,355.62","22,283.35","22,331.35","22,331.35","302,740,000"
2017/09/19,"22,349.70","22,386.01","22,340.71","22,370.80","22,370.80","295,570,000"
2017/09/20,"22,351.38","22,413.26","22,314.68","22,412.59","22,412.59","334,560,000"
2017/09/21,"22,414.02","22,419.51","22,356.55","22,359.23","22,359.23","287,390,000"
2017/09/22,"22,334.07","22,364.31","22,299.58","22,349.59","22,349.59","297,140,000"
2017/09/25,"22,320.47","22,359.88","22,219.11","22,296.09","22,296.09","332,430,000"
2017/09/26,"22,322.03","22,369.35","22,279.52","22,284.32","22,284.32","285,990,000"
2017/09/27,"22,330.93","22,371.10","22,254.93","22,340.71","22,340.71","342,900,000"
2017/09/28,"22,306.83","22,394.74","22,288.97","22,381.20","22,381.20","263,010,000"
2017/09/29,"22,358.47","22,405.63","22,332.96","22,405.09","22,405.09","274,790,000"
2017/10/02,"22,423.47","22,559.38","22,416.00","22,557.60","22,557.60","268,530,000"
2017/10/03,"22,564.45","22,646.32","22,562.90","22,641.67","22,641.67","238,830,000"
2017/10/04,"22,645.67","22,685.94","22,632.80","22,661.64","22,661.64","235,730,000"
2017/10/05,"22,669.08","22,777.04","22,655.14","22,775.39","22,775.39","246,400,000"
2017/10/06,"22,762.03","22,773.67","22,730.85","22,773.67","22,773.67","221,450,000"
2017/10/09,"22,779.73","22,803.37","22,739.38","22,761.07","22,761.07","310,770,000"
2017/10/10,"22,784.76","22,850.51","22,770.99","22,830.68","22,830.68","319,270,000"
2017/10/11,"22,827.65","22,872.89","22,821.66","22,872.89","22,872.89","316,000,000"
2017/10/12,"22,854.85","22,884.82","22,821.13","22,841.01","22,841.01","291,790,000"
2017/10/13,"22,876.43","22,905.33","22,855.93","22,871.72","22,871.72","259,560,000"
2017/10/16,"22,892.92","22,960.12","22,887.12","22,956.96","22,956.96","247,180,000"
2017/10/17,"22,952.41","23,002.20","22,948.23","22,997.44","22,997.44","273,090,000"
2017/10/18,"23,087.13","23,172.93","23,086.75","23,157.60","23,157.60","271,870,000"
2017/10/19,"23,107.47","23,167.24","23,052.67","23,163.04","23,163.04","350,400,000"
2017/10/20,"23,205.18","23,328.84","23,201.78","23,328.63","23,328.63","474,380,000"
2017/10/23,"23,348.95","23,368.37","23,273.96","23,273.96","23,273.96","456,830,000"
2017/10/24,"23,346.78","23,485.25","23,343.23","23,441.76","23,441.76","406,850,000"
2017/10/25,"23,431.09","23,451.51","23,251.11","23,329.46","23,329.46","399,560,000"
2017/10/26,"23,380.89","23,459.84","23,380.89","23,400.86","23,400.86","370,600,000"
2017/10/27,"23,419.16","23,449.40","23,353.16","23,434.19","23,434.19","518,870,000"
2017/10/30,"23,405.75","23,428.75","23,327.87","23,348.74","23,348.74","436,900,000"
2017/10/31,"23,369.22","23,406.35","23,334.39","23,377.24","23,377.24","388,050,000"
2017/11/01,"23,442.90","23,517.71","23,388.91","23,435.01","23,435.01","361,260,000"
2017/11/02,"23,463.24","23,531.38","23,350.98","23,516.26","23,516.26","348,040,000"
2017/11/03,"23,549.59","23,557.06","23,481.57","23,539.19","23,539.19","312,250,000"
2017/11/06,"23,533.96","23,574.86","23,520.75","23,548.42","23,548.42","325,190,000"
2017/11/07,"23,574.03","23,602.12","23,484.19","23,557.23","23,557.23","285,080,000"
2017/11/08,"23,542.60","23,575.00","23,510.56","23,563.36","23,563.36","264,670,000"
2017/11/09,"23,492.09","23,516.74","23,310.02","23,461.94","23,461.94","305,440,000"
2017/11/10,"23,432.71","23,452.20","23,392.96","23,422.21","23,422.21","351,280,000"
2017/11/13,"23,367.47","23,461.68","23,343.34","23,439.70","23,439.70","491,260,000"
2017/11/14,"23,388.40","23,414.08","23,271.57","23,409.47","23,409.47","561,330,000"
